Unit - Thousand Barrels per day (kb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product - Crude oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALANCE - Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02
Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1269,1217,1204,1204,1204,1217,1216,1197,1188,1204,1186,1178,1144,1138,1133,1184,1163,1173,0,1176,1185,1195,1199,1123,1125,1137,1141,1133,1104,1145,1161,1182,1171,1184,1149,1091,1084,1085,1075,1069,1071,1065,1067,1063,997,1002,1037,1013,1036,966,979,1040,1054,1064,1062,1072,1070,1068,1063,1033,0
Angola,1600,1446,1599,1605,1645,1714,1709,1703,1751,1691,1735,1761,1790,1748,1760,1807,1727,1797,1729,1806,1762,1722,1740,1801,1765,1800,1765,1722,1770,1778,1762,1666,1507,1688,1639,1615,1649,1652,1651,1593,1662,1668,1680,1657,1609,1607,1548,1562,1498,1496,1498,1486,1448,1455,1481,1489,1457,1417,1445,1470,1423
Argentina,534.2857,531.1935,511.3,501.0645,532.3333,522.0645,525.4194,528.8667,535.2258,530.2667,521.3871,533.2581,528.8214,531.4839,533.3,536.3548,533.6333,532.1935,529.2258,530.1333,535.4194,532.1667,532.2258,524.9355,517.8966,521.6452,520.9667,499.129,500.5333,499.9032,515.7419,542.4333,507.3871,498.8,491.5161,486.5484,482.25,495.0323,489.1,487.4516,458.4667,470.2903,475.7097,477.2333,468.0968,487.0667,523.1935,476.9355,468.7857,483.9677,500.1,481.7742,481.7,480.4194,487.9677,495.3667,495.0323,492.6667,493.0968,493.0968,0
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,359.0491,341.3442,321.4452,313.6195,348.7798,335.7484,352.0271,336.1638,347.4487,361.133,356.3511,337.7832,318.7793,250.5395,296.7388,264.7834,336.4267,368.8145,369.5776,346.6772,338.0376,357.1905,342.8703,316.1631,304.5241,295.306,287.2768,270.6335,284.1228,307.2606,296.8321,293.8477,294.0342,289.9052,269.6161,258.4245,254.8545,272.6684,258.1023,274.7032,273.6095,278.7729,279.536,255.7368,268.5987,256.5253,243.6719,283.0969,288.3657,283.6056,268.3528,238.3305,269.1413,274.4489,263.5116,280.9688,296.069,300.1557,310.5673,302.6823,323.5666
Austria,17.356,18.6299,17.6075,18.1755,16.6684,17.0395,16.5851,16.4337,16.5851,16.9032,16.1307,17.0395,16.6014,16.1307,17.138,16.5851,17.138,17.0395,16.3579,15.9641,16.5851,16.4337,14.5404,16.1307,15.3003,17.7211,13.3817,14.086,19.0161,14.3132,14.7676,15.4946,14.3132,15.0251,13.8588,14.7676,14.5891,16.5851,12.4426,14.7676,13.1469,18.6299,10.9053,13.8512,13.6316,13.3817,13.4044,13.6316,14.8406,12.7228,13.3817,13.4044,13.3817,12.95,12.7228,13.6165,13.1772,13.3817,12.2685,12.7228,13.5829
Azerbaijan,803.8564,807.8471,836.2493,827.3419,801.3647,827.5797,814.5039,796.9427,798.8129,625.4673,781.6955,817.5945,811.4896,830.4326,816.1047,758.8723,758.6187,784.5484,786.4503,803.8213,789.0655,748.5463,736.049,778.8426,791.6397,810.4623,795.7143,794.0581,807.5063,806.8961,773.6123,708.7483,758.8723,678.2857,730.1055,743.1813,728.5771,694.2065,725.4537,726.3016,737.4913,739.3774,696.1084,735.526,761.9629,721.2773,741.5171,743.8945,736.2104,726.0639,744.37,737,728.156,718.4561,710.3729,715.627,707.0445,723.9797,712.0371,710.8484,715.9429
Bahrain,49.4843,50.639,48.642,49.4503,48.8877,49.9258,50.4013,50.116,48.4994,50.3617,48.2616,48.9748,48.1682,48.9748,49.1333,52.0655,56.2577,51.59,50.4013,51.0987,52.541,52.0813,53.4919,51.3523,48.5403,51.1145,49.8703,47.5484,50.116,48.4994,48.7371,48.1507,212.5413,183.7587,143.1206,206.5977,203.9911,205.6468,207.5883,208.0242,206.8513,208.4997,207.7865,210.2907,207.7865,208.571,119.5842,143.1206,161.6136,209.2129,209.7993,209.9261,206.6057,208.9752,206.1223,203.6577,205.8845,201.4467,195.4239,190.4313,204.5175
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,0,0,0,0.6129,0.6429,0.6452,0.6333,0.6452,0.7333,0.7742,0.5806,0.7,0.7419,0.7,0.6774,0.6774,0.7241,0.6774,0.6333,0.6129,0,0,0,0,0,0,0,0.6129,0.6786,0.6452,0.6667,0.6129,0.5667,0.5806,0.6129,0.6667,0.6774,0.7,0.6774,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,33.3693,33.4625,33.1065,33.2252,33.8422,32.9878,33.2252,32.616,33.2252,32.8613,32.7505,33.4625,33.632,33.4625,33.3517,33.4625,33.8422,31.5639,31.8012,34.0874,33.2252,33.1065,32.9878,33.4625,32.9797,32.9878,32.3708,33.9371,34.3327,32.7505,32.7505,32.616,32.9878,32.8613,32.7505,33.2252,34.4203,32.9878,33.3517,33.6998,32.8613,33.6998,32.9878,32.616,33.4625,33.1065,32.7505,33.4625,34.4203,33.4625,32.616,33.9371,34.3327,33.2252,33.2252,34.3327,34.4118,33.597,32.9878,33.4625,0
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0,0,0,0,1.6774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,65.3214,62.1935,63.4333,65.2258,64.8333,65.1935,63.5806,63.4,62.5161,58.1333,58.129,61.0645,61.8929,62.1935,62.4333,68.2258,61.0667,62.1935,60.9032,60.3667,61.0645,0,0,58.9032,57.7241,58.129,56.9,56.2903,56.4333,55.0323,57.4194,59.5333,57.8387,56.2333,48.4516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,2096.25,2124.2258,2152.7667,2195.0968,2251.5,2272.2581,2332.2258,2364.4333,2398,2363.3333,2503.2258,2475,2436.9286,2418.9355,2400.4667,2417.6774,2401.0333,2471,2552.0323,2399.0667,2411.6774,2384.8,2537.6774,2357.7742,2337.5517,2267.2581,2296.2333,2493.0968,2563.9667,2586.0968,2615,2677.4,2629.8387,2614.2333,2735.871,2692.0968,2680.8929,2555.6452,2550.5667,2653.0968,2679.2667,2632.5484,2586.3226,2663.0667,2637.3226,2605.8333,2622.9355,2626.3548,2628.6429,2566.871,2607.8,2615.871,2598.9,2583.3226,2525.4516,2489.4667,2618.0323,2571.4333,2694.6452,2634.9677,2493.75
Brunei Darussalam,131.1991,130.8475,119.4599,108.7963,123.2505,108.4692,90.6801,107.2889,109.1866,107.6704,117.9145,107.3724,116.545,113.949,128.0239,119.0945,126.2512,127.1642,83.9094,118.6198,100.7297,116.2779,127.274,130.0459,123.267,112.6275,91.1832,107.2779,104.8825,99.5323,84.9985,114.9824,124.6657,115.5947,100.1402,105.6979,122.5563,112.6111,89.0799,106.1405,88.0502,93.3669,88.9916,87.5102,98.2259,109.9591,105.7509,110.6879,114.6272,111.4387,70.0658,84.7638,102.5859,94.4152,94.6867,92.8239,102.9708,103.183,112.4507,113.6741,116.8405
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4729,0.4887,0.4729,0.4729,0.5055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,2686.0893,2831.2361,2787.276,2768.469,2739.4093,2761.7523,2782.1342,2735.1013,2887.5181,2788.712,2915.5432,2917.1645,2923.0293,2835.4052,2786.0793,2637.8394,2674.7893,2898.4039,2925.0394,2758.3167,2878.7168,2927.0467,3019.769,3208.7652,3103.7407,3131.1748,3159.4393,2770.7852,2846.3913,3110.3297,3145.5348,3130.48,3121.6787,3278.388,3206.2174,3328.2774,3363.3171,3338.9316,3198.2113,3163.369,3201.8013,3320.171,3377.611,3449.99,3401.4671,3610.5827,3496.66,3516.8103,3605.3857,3656.9361,3592.6327,3660.4103,3562.9553,3746.5703,3867.009,3711.1027,3782.0071,3719.24,3815.591,3554.7948,3947.4614
Chile,6.7404,6.7645,6.291,6.7645,5.825,6.0881,6.3135,6.524,5.4116,5.126,4.5097,4.9606,4.7432,4.9606,4.66,4.5097,4.427,4.2842,4.5097,4.427,4.2842,4.194,4.2842,4.2842,4.0976,4.2842,3.961,3.8332,3.961,3.6077,3.3823,3.728,3.8332,3.495,3.3823,2.4803,3.7446,3.3823,3.495,3.1568,3.029,3.1568,3.1568,2.796,2.9313,2.796,2.7058,2.9313,2.9957,2.9313,2.796,2.7058,3.029,2.9313,2.9313,2.796,2.7058,2.796,2.7058,2.9313,3.2454
China,4212.66,4164.8439,4142.876,4192.7071,4270.488,4094.9497,4129.4245,4186.796,4235.2103,4301.72,4326.5923,4236.8632,4236.9729,0,4270,4282.4361,4420.304,4274.6439,4289.7561,4328.804,4270.8658,4309.04,4286.6865,4161.0658,4161.0414,4101.5613,4047.96,3983.7329,4045.52,3948.7858,3884.3226,3897.9,3790.1071,3925.96,3960.3561,3901.0877,3901.2986,3913.8387,3901.56,3840.1665,3955.728,3836.8606,3767.911,3789.076,3779.4813,3830.556,3774.2865,3768.6194,3768.4929,3767.6748,3784.44,3771.689,3866.424,3743.8258,3777.3561,3702.944,3799.08,3790.296,3856.6955,0,0
Chinese Taipei,0.1725,0.2352,0.1505,0.1023,0.1205,0.1252,0.1473,0.1572,0.1704,0.1445,0.1516,0.2136,0.1808,0.1994,0.1684,0.1512,0.1334,0.1481,0.1311,0.1361,0.1536,0.1629,0.1291,0.1816,0.1726,0.1741,0.1524,0.1146,0.1321,0.1266,0.1656,0.1227,0.1146,0.1231,0.1619,0.1601,0.1209,0.1185,0.0824,0.0929,0.0916,0.0799,0.0799,0.0788,0.0919,0.0765,0.0463,0.0964,0.0539,0.1252,0.0566,0.0631,0.0843,0.0682,0.0688,0.073,0.0712,0.0876,0.1157,0.0735,0.08
Colombia,1003.9643,979.0323,938.3667,951.9355,1011.1333,971,1001.9355,995.7667,1004.3548,1003.9333,1009.2258,1035.4194,1029.5714,1022.5161,1028.9,1026.9355,1009.5,953.1935,961.6129,0,1004.6452,989.7,998.7419,985.7419,922.0345,917.1935,915.1,905.6452,888.2667,842.5484,827.129,858.6333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,10.5971,11.0074,10.8797,10.5288,10.6325,10.2895,10.5288,9.8907,11.0074,11.6215,12.6824,12.4431,12.4516,11.9645,12.1161,11.9645,11.8688,11.9645,12.4431,12.6106,12.9217,13.3524,14.3574,13.161,14.0686,13.4003,14.0942,14.1181,14.0942,14.1181,13.8788,13.3524,13.6395,13.5997,13.4003,12.9217,13.5114,13.6395,13.8469,14.5967,14.0942,14.1181,14.5967,14.3415,13.6395,13.8469,13.4003,13.6395,13.7763,13.6395,14.0942,13.8788,13.8469,13.161,14.3574,14.0942,13.8788,14.0942,13.8788,13.8788,13.7763
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,2.8796,2.8374,3.1763,3.3103,3.1763,3.0739,3.0739,3.1763,3.0739,2.932,2.601,2.601,2.8796,2.601,2.4433,2.601,2.4433,2.601,2.601,2.4433,2.601,2.4433,2.601,2.601,2.5276,2.601,2.4433,2.601,2.4433,2.3645,2.1281,2.199,2.1281,1.9547,2.1281,2.1281,2.0943,2.1281,2.199,2.1281,2.199,2.3645,2.3645,2.4433,1.8916,1.9547,2.1281,1.6552,1.8325,2.3645,2.4433,2.601,2.4433,2.3645,2.3645,2.199,2.1281,1.9547,2.1281,1.8916,1.8325
Denmark,168.35,164.9484,162.5533,171.871,108.78,159.2194,174.0194,163.54,174.7355,187.96,179.9871,158.2645,159.8929,153.0129,160.58,160.6516,156.88,154.2065,156.8323,154.9067,156.3548,150.96,148.7161,136.5419,110.7448,149.1935,147.26,143.4645,153.4267,140.6,148.7161,123.3333,146.0903,144.5467,134.871,131.529,142.7143,134.6323,143.56,132.9613,142.08,138.2129,139.1677,138.38,130.8129,134.1867,131.0516,127.2323,118.4,111.2387,113.96,114.8194,106.0667,122.9355,68.9871,122.84,121.5032,125.5533,125.3226,108.1355,116.55
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,551,557,560,554,555,558,561,551,557,563,558,558,553,553,548,543,541,538,537,539,538,537,533,534,540,552,555,556,550,545,549,571,552,544,544,534,535,531,528,533,540,541,536,529,526,521,520,513,513,511,517,516,517,523,530,519,513,515,519,524,533
Egypt (Arab Rep.),664.29,666.5148,657.756,667.6858,666.468,669.091,661.1284,675.18,677.9903,698.896,687.3581,669.7935,678.5507,693.2129,685.102,676.1168,688.49,692.0419,695.789,684.134,681.0348,674.212,669.5594,666.749,659.6586,658.7865,663.564,662.0652,662.112,653.8684,649.1845,642.51,641.4561,632.104,624.1258,625.7652,619.9521,610.5426,617.342,624.36,627.99,625.7652,631.3858,639.848,634.1961,631.862,633.2594,631.62,636.2871,637.709,642.026,644.969,636.46,634.4303,643.0955,641.3,635.6013,639.122,643.5639,639.1142,631.8793
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,14.9218,15.3694,15.393,15.6058,15.1487,15.6058,15.3694,15.6373,15.6058,15.393,15.3694,15.3694,15.9689,16.5516,16.859,17.4974,17.3477,17.4974,16.5516,16.3703,16.7881,17.3477,16.5516,16.5516,17.1876,16.7881,17.3477,16.5516,16.3703,16.5516,16.0787,15.6373,15.8423,15.393,15.6058,14.8965,14.66,15.1329,15.8817,15.6058,15.1487,14.8965,14.8965,15.393,15.3694,15.393,15.1329,14.8965,15.1836,15.8423,16.126,15.3694,15.8817,15.6058,15.6058,15.6373,15.8423,15.393,15.3694,15.3694,15.7071
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,221,222,236,232,232,231,231,213,229,224,230,219,219,212,217,217,213,208,205,205,202,202,203,194,195,188,179,193,182,190,188,199,209,199,209,214,217
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,46.8,48.5419,48,46.9161,49.92,47.8452,44.8258,50.4,46.9161,45.84,50.4,42.5032,49.6286,45.9871,46.32,45.9871,43.92,46.2194,53.6516,53.76,50.6323,49.92,46.6839,46.4516,46.9241,47.3806,46.08,46.9161,46.32,47.8452,47.3806,47.04,44.8258,44.4,45.2903,45.0581,43.7143,43.8968,44.64,42.0387,42.96,44.3613,45.0581,42.72,42.0387,42.24,42.7355,43.8968,42.9429,39.4839,41.52,42.5032,41.28,40.8774,40.8774,39.84,39.0194,38.4,37.3935,38.7871,38.3143
Greece,1.5493,1.3994,1.446,1.3994,0.964,1.1661,1.1661,1.205,0.4665,1.205,1.3994,1.3994,1.5493,1.3994,0.964,0.9329,1.205,1.1661,1.3994,1.205,1.1661,1.205,1.3994,2.3323,2.2438,2.3323,3.133,3.7316,2.892,2.7987,3.9648,3.615,3.7316,3.615,3.7316,2.5655,2.8404,3.0319,2.41,2.3323,2.169,3.0319,3.0319,1.928,3.2652,3.374,3.7316,3.7316,3.615,3.4984,4.097,3.9648,3.856,4.1981,3.9648,4.097,3.9648,4.82,5.131,3.9648,4.1314
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,9.8929,11.3548,9.0667,9.6452,10.1667,9.7419,10.0968,9.8667,8.6452,11.1667,10.4194,10.0323,10.0357,10,9.9,9.4516,9.9667,9.5806,9.7097,9.7333,9.2581,9.6333,9.1935,8.9677,9.4483,9.4839,9.4,9.2581,8.8667,8.871,8.5161,8.4333,8.5161,8.9667,9.0645,9.8387,11.0357,9.7742,9.5667,9.1613,9.6333,9.5484,9.6774,9.3333,9.2258,8.6667,10.3548,9.1935,9.5,9.0968,9.4667,9.1613,9,9.0645,9.5806,9.2,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,12.0421,11.5861,10.995,11.1132,11.4837,11.3497,11.1132,10.5063,11.1132,11.728,12.2955,12.059,12.0421,12.2955,11.4837,11.8226,11.9723,11.1132,11.3497,11.9723,12.5319,12.7053,13.4777,13.7142,13.649,13.4777,13.6827,13.9506,13.6827,14.4235,13.4777,12.9497,14.66,14.4157,13.9506,13.4777,13.3511,13.4777,13.4383,14.8965,14.66,14.1871,14.1871,15.1487,15.1329,14.9043,13.0048,13.4777,14.66,15.8423,15.8817,16.3152,20.524,16.0787,15.3694,15.393,15.8423,16.126,15.8423,18.6797,17.0161
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,778.8086,761.76,769.792,758.4,775,755.28,725.76,755.16,772.32,793.104,770.4,765.12,763.9286,774.48,748.96,764.16,769.048,752.16,766.32,754.416,756.24,753.92,739.2,729.12,743.2303,734.88,733.336,738.72,735.816,738.48,736.32,723.416,732.24,713.248,733.2,738,743.2029,741.6,728.872,743.76,740.28,734.64,724.8,724.16,729.12,714.488,717.84,714.24,725.6657,730.08,722.92,721.92,715.232,695.04,697.92,693.904,692.4,689.688,686.88,683.52,0
Indonesia,800.264,797.407,796.595,796.06,795.776,798.18,787.4081,786.6663,772.244,789.006,770.496,767.2819,765.388,763.4958,787.8267,793.018,799.3256,797.517,779.691,797.996,797.745,791.432,793.785,821.3612,839.2486,847.2908,820.7443,838.4443,838.7429,836.1519,831.7996,832.987,0,0,0,823.255,806.938,815.14,809.439,803.498,798.773,807.321,790.942,787.931,789.756,786.477,801.024,768.462,787.33,780.092,776.213,779.074,782.114,733.326,753.12,804.8127,746.9265,786.3171,0,0,0
Iran (Islamic Rep.),3260,3300,3250,3230,3100,3000,3010,3000,3010,3000,3005,3020,3010,3020,3110,3090,3110,3130,3180,3200,3280,3310,3350,3370,3385,3400,3500,3600,3610,3620,3630,3710,3980,3990,4010,3920,3870,3891,3862,3893,3880,3900,0,0,0,3878,3811,3817,3810,3806,3804,3806,3802,3806,0,0,0,0,0,0,0
Iraq,3410,3089,3064,3177,3111,3012,3023,3198,3054,3009,3356,3042,2783,3339,3176,3288,3591,3718,3760,3755,3659,3747,4130,4775,4458,4553,4522,4499,4549,4606,4622,4774,4776,4800,4830,4630,4566,4568,4531,4564,4550,4400,4380,4360,4360,4360,4362,4360,4360,4360,4360,4360,4360,4460,4460,4460,4460,4455,4465,4575,4545
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
