Unit - Thousand Barrels per day (kb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,106.1089,109.28,101.3117,108.619,103.816,104.8735,108.1784,93.571,111.9239,113.1503,114.1271,96.9419,81.2282,102.0094,102.45,99.8061,102.9053,103.3313,102.8906,100.8563,105.5345,104.499,97.6029,103.3313,80.0759,92.0948,28.9137,27.7606,27.7753,23.1339,64.1139,99.718,100.9077,104.0437,95.8403,96.9419,101.2304,99.5858,74.2193,26.4387,26.8647,55.5213,71.8252,99.2627,95.8403,92.4327,91.6542,95.8403,94.8882,92.0948,94.4817,92.7558,94.0263,79.7568,82.8413,87.8793,86.5868,88.3347,85.2648,87.2477,87.5704
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.871,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,5.0011,4.7548,4.6677,4.5171,4.422,4.5171,4.5171,4.1763,4.2794,4.422,4.5171,4.5171,4.7379,4.5171,4.422,4.2794,4.422,4.2794,4.2794,4.1763,4.2794,4.1763,4.0416,4.0416,3.8121,3.8039,3.685,3.8039,3.9307,3.8039,4.0416,3.685,3.8039,3.4393,3.8039,3.8039,3.4218,3.8039,3.9307,3.8039,3.4393,3.5661,3.5661,3.685,3.5661,3.685,3.5661,3.5661,3.685,3.8039,3.1937,2.8529,3.4393,3.3284,3.3284,3.4393,3.3284,3.1937,3.3284,3.5661,3.4218
Kazakhstan,1379.2429,1387.9374,1402.511,1316.6148,1255.111,1380.0919,1390.0771,1342.5683,1309.0071,1453.1183,1433.1084,1367.7294,1416.8825,1397.2094,1367.872,1388.8884,1317.5103,1344.4306,1268.8287,1264.2007,1236.4958,1375.979,1375.5748,1357.9819,1357.3507,1348.4723,1329.7937,1314.7129,1303.016,1307.5806,1017.2977,1252.4087,1389.1261,1431.4997,1438.5765,1415.7532,1450.3107,1483.7474,1470.315,1422.8855,1474,1480.6568,1404.8171,1496.11,1445.7087,1545.9803,1537.2394,1535.5752,1580.3386,1565.0552,1560.4747,1613.079,1558.018,1584.7877,1411.9494,1595.8507,1486.3626,1657.2673,1631.3852,1645.8874,1648.5111
Korea,0.5264,0.7132,0.4913,0.2377,0.737,0.4755,0.4755,0.4913,0.4755,0.4913,0.4755,0.4755,0.5264,0.4755,0.4913,0.4755,0.2457,0.2377,0.2377,0.2457,0.2377,0.2457,0.2377,0.2377,0.2541,0.2377,0,0.2377,0.2457,0.4755,0.2377,0,0.2377,0.737,0.7132,0.7132,0.7896,0.7132,0.737,0.7132,0.737,0.4755,0.4755,0.4913,0.2377,0.4913,0.7132,0.7132,0.5264,0.4755,0.4913,0.7132,0.4913,0.4755,0.4755,0.4913,0.2377,0.4913,0.4755,0.4755,0.5264
Kuwait,2917,2860,2927,2927,2800,2880,2880,2900,2831,2790,2800,2850,0,2850,2860,2830,2825,2820,2890,2900,2800,2900,2930,3000,3000,3000,2900,0,2950,2950,2987,2970,3000,2900,2844,2710,2705,2700,2710,2715,2705,2700,2700,2700,2700,2705,2701,2705,2700,2700,2705,2700,2707,2800,2800,2752,2733,2730,2802,2715,2707
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,405,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,1.825,1.6484,1.7033,1.6484,1.46,1.6484,1.6484,1.46,1.6484,1.7033,1.6484,1.6484,1.5643,1.6484,1.46,1.6484,0.9733,1.4129,1.4129,1.46,1.4129,1.46,1.4129,1.4129,1.2586,1.4129,1.2167,1.4129,1.2167,1.1774,1.1774,1.2167,1.1774,1.2167,1.1774,1.1774,1.3036,1.1774,1.2167,1.1774,1.2167,1.1774,1.1774,0.9733,0.9419,0.9733,1.1774,0.9419,1.0429,0.9419,0.9733,0.9419,0.9733,0.9419,0.9419,0.9733,0.7065,0.9733,0.7065,0.9419,0.7821
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The former Yugoslav Rep. of Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,465.2286,484.1935,479.56,474.1419,484.3733,460.6581,458.2065,491.4667,504.5419,570,551.8581,577.1097,583.5714,464.8258,583.1733,572.4516,518.8267,491.7935,482.9677,560.12,515.329,579.12,553.0839,687.9226,650.4552,675.1742,657.6533,641.0968,681.2133,665.3677,617.8065,643.72,626.3871,657.6533,674.8,672.9677,665,658.5032,621.3,620.2581,680.96,657.0323,619.0323,641.44,641.5871,659.9333,640.3613,681.0581,665,662.4258,636.6267,641.0968,661.4533,675.4194,606.0387,649.666,630.3097,654.1067,650.1677,655.5613,630.2571
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,2507.8371,2475.7161,2485.08,2496.0426,2440.24,2392.3548,2417.9342,2392.804,2366.3187,2366.372,2357.4116,2252.1252,2335.3886,2323.1535,2208.016,2232.7123,2251.912,2275.4206,2256.4645,2271.028,2278.6181,2277.636,2275.8774,2259.6619,2215.3076,2217.6387,2177.336,2176.529,2180.64,2161.2271,2147.5239,2117.156,2108.0129,2077.272,2041.7806,2026.4787,2022.3514,2023.9665,2017.8,2026.9355,2015.44,1993.1342,1939.6916,1732.712,1911.1432,1878.56,1881.6813,1937.6361,1906.7957,1875.7432,1897.912,1879.6258,1858.028,1852.6761,1830.9794,1839.148,1781.4194,1730.824,1743.5071,1653.2942,1736.1171
Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,16.5533,8.7809,17.4116,17.3245,16.9211,16.3753,16.3753,16.1854,15.1886,15.6949,15.1886,15.1886,0,0,12.5069,14.714,14.2235,13.7647,13.5274,13.4878,12.5781,12.2617,11.8661,11.3915,10.655,12.8154,11.2807,12.3408,12.5069,11.3915,12.1035,12.5069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,22.5361,27.9026,30.487,32.0194,24.3423,25.8442,33.1629,33.5593,33.849,34.5047,34.0777,30.4184,32.4114,33.3916,27.8873,27.4452,22.4517,24.2432,26.0729,23.6333,23.0997,30.2507,24.4719,23.3284,21.27,21.7274,19.6157,18.5255,10.3987,10.0632,16.2384,14.889,19.4403,18.1977,20.8126,21.27,20.2571,20.8126,20.7973,20.3552,13.2347,14.4087,17.1532,14.889,17.3819,18.6703,20.1265,20.5839,22.0296,18.2968,18.9067,19.2116,19.143,15.3235,15.5523,16.0707,16.0097,16.5433,14.18,19.2116,21.27
New Zealand,39.1982,42.2235,36.585,41.699,39.837,41.9613,40.9123,40.921,38.5519,34.688,33.8313,35.9294,33.9718,35.9294,51.219,43.2726,43.902,44.3216,44.8461,44.715,43.0103,34.146,40.3877,39.0765,37.5662,32.52,39.295,32.2577,35.772,39.0765,37.2406,35.23,34.8803,31.165,23.341,27.2748,32.52,33.3068,33.062,30.9465,32.52,32.52,31.7332,29.268,27.7994,31.165,31.7332,30.6842,27.0032,22.8165,22.493,23.0787,22.222,24.6523,27.5371,24.932,22.5542,21.409,23.341,24.6523,23.8093
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,17.6786,17.6613,17,19.3548,18.75,18.629,18.629,17.75,19.1129,18.25,9.4355,13.0645,18.2143,18.3871,16.5,16.4516,17.75,17.1774,9.9194,2.5,12.0968,17.25,23.2258,17.6613,17.5862,16.2097,17,13.5484,13.25,14.5161,16.9355,12.25,20.8065,20.5,20.5645,20.3226,20.3571,15.4839,17.5,19.1129,18.25,17.9032,16.9355,18.25,19.8387,19.5,19.5968,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,2071,2205,2230,2225,2165,2056,2204,2156,2225,2116,2295,2207,2201,2068,2053,2048,1970,2177,2162,2212,2222,2202,2097,2145,2117,1851,1978,1905,1772,1657,1502,1651,1782,1922,1599,1914,1818,1603,1793,1878,1949,1940,1994,1931,1946,1611,1936,1997,2009,1945,1965,1832,1783,1853,1997,1957,1951,1803,1873,1954,1987
Norway,1602.5925,1598.7526,1613.0963,1344.3342,1462.5473,1586.6719,1545.8394,1513.2297,1621.2226,1600.3633,1645.6255,1566.3765,1590.8225,1585.9471,1612.0977,1547.7723,1500.996,1604.0681,1591.7458,1569.904,1636.6858,1632.3207,1670.7532,1653.8403,1662.0052,1624.3635,1652.5437,1601.6519,1478.7757,1761.1165,1595.1284,1459.801,1746.3781,1779.1247,1645.8671,1644.659,1694.88,1737.1968,1718.4557,1639.5852,1580.1403,1622.189,1593.6787,1461.299,1551.8797,1553.426,1553.8126,1656.9813,1595.37,1543.4232,1537.4473,1334.1865,1511.482,1546.5642,1521.4365,1325.9797,1507.6645,1517.9733,1525.0606,1474.3219,1411.0625
Oman,950.9932,945.4997,929.1113,940.9826,962.0307,961.9039,958.5755,963.259,942.6468,926.409,937.1787,965.47,962.5746,981.8742,965.47,980.21,997.898,1006.3616,993.999,995.1957,971.4135,1001.0917,1012.3052,1011.8297,1019.0931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,31.4288,23.462,31.5432,30.5235,32.1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,70.4482,73.5046,67.3785,69.3688,72.043,68.3385,68.5597,69.5876,71.5283,69.891,67.005,62.3063,55.6115,61.6483,58.2658,59.078,55.1033,55.785,60.7394,54.7245,56.4632,56.7852,59.1188,51.2647,46.5699,39.3528,40.382,42.9321,36.8791,42.3428,41.3187,34.6642,35.1511,35.1524,38.2886,39.0589,40.6797,42.8076,43.2236,41.5919,44.2805,45.909,49.316,43.2873,40.7377,43.3808,48.1953,48.6752,50.2661,51.9777,49.9641,52.2009,41.5259,42.8787,44.1349,52.0277,0,0,0,0,0
Philippines,10.3643,19.0194,20.6867,10.3871,11.2667,9.5806,11.193,11.038,0.4903,11.8,11.271,11.0051,14.977,0.9226,8.7333,0.429,31.05,0,11.2226,0.25,21.3258,0.4667,12.8387,0.4129,10.4483,10.1129,12.63,7.129,10.4667,0.4516,9.0594,9.6,9.3516,20.6667,8.7419,20.129,0,9.5806,22.2667,0.4355,10.0667,10.1129,10.6452,20.7333,31.4355,10.8,10.4194,20.9677,10.0143,8.629,0,31.6903,9.9833,10.8387,12.129,10.2333,10.4677,9.1667,10.5484,13.7097,0
Poland,19.1104,20.5713,19.791,20.8077,13.6827,19.6255,14.8965,20.524,20.0984,20.0353,19.8619,19.389,19.3721,19.389,19.3023,12.7684,11.728,18.4432,19.389,19.3023,19.389,22.2343,22.9358,21.5171,21.2317,21.7535,21.7457,21.2806,13.6827,21.0442,21.0442,14.1713,20.3348,20.7683,21.7535,21.7535,22.2518,21.5171,21.5013,13.7142,13.4383,19.389,20.0984,21.5013,22.2265,21.7457,21.0442,20.8077,20.4193,20.8077,22.2343,20.5713,14.1713,21.5171,21.2806,17.592,21.99,21.257,20.8077,20.5713,21.4664
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,734,710,701,701,729,734,734,690,680,681,684,674,676,708,635,642,664,613,643,663,639,683,632,637,692,699,625,671,670,677,643,610,639,646,611,615,545,621,619,594,611,611,585,571,596,615,612,621,539,616,578,601,622,619,612,570,609,599,615,0,0
Romania,82.0189,82.0708,80.8038,80.8603,80.8038,79.1656,79.4077,80.0533,79.8919,79.0527,78.4394,79.4077,80.9468,81.1024,80.0533,81.1024,81.3042,77.9552,77.471,78.052,77.2289,77.3015,75.5342,75.2921,77.1203,76.9868,76.8012,76.7447,75.5503,75.5342,75.05,74.2995,74.0816,73.7992,73.5974,73.1132,73.7098,73.5974,73.0487,73.3553,73.2988,72.3869,71.4185,71.0473,70.6923,70.547,70.4502,70.9344,71.2975,71.1765,71.5477,71.6606,71.0473,69.4818,70.9344,70.547,70.4502,70.547,70.4502,70.4502,70.4934
Russian Federation,10061.9571,10037.3806,10053.2,10084.8387,10126.76,10037.3806,10061.1097,10151.28,10084.8387,10151.28,10084.8387,10108.5677,10167.0429,10108.5677,10102.24,10084.8387,10126.76,10084.8387,10084.8387,10175.8,10108.5677,10102.24,10084.8387,10227.2129,10475.9586,10678.0645,10224.84,10218.8603,10224.84,10345.8581,10122.9001,10371.96,10511.9613,10519.08,10274.671,10511.9613,10456.0286,10369.5871,10322.92,10274.671,10273.88,10393.3161,10369.5871,10273.88,10274.671,10322.92,10345.8581,10274.671,10298.4,10322.129,10347.44,10345.8581,10472.0722,10654.3355,10654.3355,10739.76,10749.2516,10728.7709,10726.4136,10673.6049,10669.4979
Saudi Arabia,9850,9566,9660,9705,9780,10005,9597,9704,9690,9610,9630,9680,9636,10294,10308,10333,10564,10361,10265,10226,10276,10186,10144,10230,10220,10224,10262,10270,10550,10673,10630,10650,10625,10720,10465,9796,10011,9951,9946,9880,10070,10010,9951,9973,10056,9891,9980,9983,9935,9907,9868,10030,10489,10288,10412,10502,10642,11093,10643,10243,10136
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,0.2618,0.2365,0.2443,0.2365,0.2443,0.2365,0.2365,0.2443,0.2365,0.2443,0,0,0.2618,0.2365,0.2443,0,0.2443,0,0.2365,0.2443,0.2365,0.2443,0.2365,0.2365,0.2528,0.2365,0,0,0,0.2365,0.2365,0.2443,0.2365,0.2443,0.2365,0.2365,0.2618,0.2365,0.2443,0.2365,0.2443,0,0,0,0,0,0,0,0.2618,0,0.2443,0,0,0,0,0,0.2365,0.2443,0,0,0.2618
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,5.1789,1.1006,2.559,5.2281,2.8433,2.2013,2.2013,5.4023,2.4765,5.6867,4.6777,7.7045,4.8743,4.1274,4.265,3.5771,4.265,6.3287,2.4765,9.0987,6.879,9.383,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0.8255,0.6093,0.5503,0.5687,0.8255,0.853,0.8255,0.8255,0.853,0.8255,0.853,0.8255,0,0.6093,0.5503,0,0,0,0,0,0,0,0,0,0,0
Spain,7.1743,6.72,7.688,7.68,6.944,6.72,6.96,3.72,6,4.216,3.36,4.56,7.1743,6.96,5.952,5.76,5.208,4.32,4.08,3.472,3.36,2.976,3.12,3.36,3.3352,3.36,3.224,2.64,2.976,3.12,2.64,2.48,2.4,2.48,2.4,2.16,2.1257,2.16,2.48,2.64,2.728,2.64,2.4,2.232,2.4,2.48,2.4,2.4,2.1257,1.68,1.984,1.92,1.984,1.92,1.44,1.736,1.2,1.736,1.44,0.96,1.0629
Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria (Arab Rep.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,0.2632,0.4755,0.4913,0.4755,0.2457,0.4755,0.4755,0.4913,0.2377,0.4913,0.4755,0.4755,0.2632,0.2377,0.4913,0.4755,0.4913,0.4755,0.4755,0.4913,0.4755,0.4913,0.4755,0.4755,0.2541,0.2377,0.4913,0.4755,0.4913,0.4755,0.4755,0.4913,0.4755,0,0,0.2377,0.2632,0.2377,0.2457,0.2377,0.4913,0.4755,0.2377,0.4913,0.2377,0.2457,0.2377,0.2377,0.2632,0.4755,0.2457,0.4755,0.4913,0.2377,0.4755,0.4913,0.2377,0.2457,0.2377,0,0
Thailand,233.2482,233.7176,227.7078,243.3393,239.705,227.8374,232.3784,234.4424,226.1817,240.4598,236.9397,233.9266,235.9124,254.1176,249.0457,239.8514,236.7152,249.187,244.7313,247.9135,255.0875,263.3933,265.4539,272.8437,270.8101,265.0095,268.9118,244.1428,253.3775,259.0421,253.3811,250.2807,252.1251,256.8768,246.4945,250.1224,245.7024,242.1402,232.4275,241.639,226.4582,229.6372,240.8882,240.5165,243.5321,240.6045,236.6699,243.035,244.2917,218.8731,204.8519,228.9737,225.0304,213.2932,213.2932,217.6417,236.0895,234.304,223.264,207.9183,0
Trinidad/Tobago,81.6786,82.3226,80.1333,79.4516,81.5333,82.4194,82.1935,83.3333,86.0323,78.7,84.0968,83.871,83.7143,81.3226,80.7,78.1935,81.2333,78.1935,75.2258,75.6667,76.7419,75.7,73.2581,74.1935,75.2069,74.4516,72.1333,72.9677,69.1667,66.5161,65.5806,71.5667,68.9677,72.0333,75.0323,75.3871,75.9286,71.6774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,59.3229,58.7913,54.8553,49.3648,55.1117,54.5742,54.8223,50.4977,52.5897,53.3173,50.109,54.0781,53.5554,52.3416,53.061,51.8455,48.1907,46.14,49.1168,46.14,41.9229,45.1147,47.1323,48.6206,47.731,43.1632,48.9597,47.8765,47.1653,45.8919,46.8842,44.602,42.9152,43.833,44.6516,47.1323,44.7668,42.6671,42.8077,41.4268,29.4783,27.039,23.3181,49.985,41.9229,43.5767,42.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,45.695,45.8084,46.6323,48.5297,48.9757,47.169,47.8494,50.616,47.6226,46.6323,47.8494,46.7155,47.2014,47.6226,48.2727,48.9832,49.6787,49.6635,48.3029,48.2727,48.7565,49.21,48.7565,47.6226,48.9676,48.5297,50.3817,50.1171,50.616,50.3439,50.1171,49.6787,49.6635,48.7413,48.3029,48.7565,48.2057,48.7565,49.6787,49.21,50.3817,49.6635,49.4368,49.6787,49.4368,47.804,48.9832,50.1171,51.7207,52.8384,54.3653,54.8794,54.834,56.9203,56.6935,56.4743,56.4668,57.646,55.7865,54.4258,60.5082
Ukraine,42.9039,42.3181,42.5003,42.0803,41.7633,40.6539,39.7029,41.0263,40.1784,39.061,38.9897,38.9897,37.6396,38.5142,37.8327,37.0877,36.113,37.3255,35.4235,35.1303,35.4235,34.639,32.8084,33.0461,34.0545,33.2839,34.3933,33.0461,31.9367,32.3329,31.8574,32.428,30.9065,31.691,30.9065,31.1442,31.3225,31.6197,33.6563,33.5216,32.9193,27.5781,26.6271,27.269,27.3403,30.954,31.3819,32.3329,32.1121,32.0952,32.428,32.3329,32.6737,33.0461,32.8084,32.428,33.0461,32.9193,32.8084,33.7594,0
United Arab Emirates,3043,3003,2830,3090,3108,3148,3171,3072,2908,2938,3156,3186,3215,3126,3152,3248,3204,3309,3270,3250,3212,3271,3239,3369,3003,3131,3040,3355,3418,3418,3396,3415,3414,3410,3441,3272,3176,3168,3208,3206,3206,3217,3195,3185,3174,3120,3087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,913.14,892.5677,803.88,856.231,739.368,690.1548,465.3058,744.408,790.1419,791.028,829.1613,856.7187,797.04,852.329,884.52,968.8994,832.86,846.9639,822.5768,851.76,918.9058,953.064,962.071,981.5806,996.6166,967.68,970.452,974.2645,882.252,962.8026,821.6013,811.944,741.1239,927.864,942.3174,949.6335,923.67,924.0271,894.852,908.9071,916.02,887.6903,818.1871,869.652,924.0271,956.844,725.0284,999.1394,989.01,932.0748,1068.732,973.0452,935.928,996.9445,924.271,885.78,1024.9897,1018.836,1068.8865,1051.0839,1140.48
United States of America,8135.8214,8274.4194,8572.7333,8612.3226,8717.5,8782.3548,8885.6774,9040.8333,9220.5161,9302.7667,9466.8065,9384.9355,9510.5357,9577.5161,9649.5,9463.6129,9344.2,9429.8065,9400.1935,9459.9,9388.0645,9317.5,9251.3548,9196.9677,9054.6552,9080.9677,8865.7667,8824,8670.5,8635,8670.2258,8518.8333,8787.1613,8888.2667,8777.9355,8840.0968,9083.4643,9140.2903,9084.7667,9167.871,9073.8,9230.0645,9243.5806,9495.2,9703.0968,10103.2667,10040.4194,9994.5484,10248.25,10461.3548,10475,10463.9032,10672.3667,10935.9677,11325,11470.4667,11558.9677,11926.0667,11961.0323,11870.7419,12025
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,2677,2677,2691,2690,2676,2696,2664,2644,2675,2695,2733,2705,2735,2727,2717,2664,2669,2653,2645,2593,2597,2576,2591,2530,2500,2500,2476,2339,2362,2350,2303,2324,2285,2259,2250,2262,2282,2241,2203,2090,2089,2121,1985,1939,1759,1849,1619,1769,1586,1509,1505,1533,1531,1469,1448,1434,1433,1464,1511,1489,1432
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
